"date","count","size"
"2016-12-16 00:00:00",119,641143746975
"2016-12-17 00:00:00",84,692975788067
"2016-12-18 00:00:00",223,1102661606513
"2016-12-19 00:00:00",203,636331063366
"2016-12-20 00:00:00",134,869319981753
"2016-12-21 00:00:00",160,911689188536
"2016-12-22 00:00:00",133,1623476989022
"2016-12-23 00:00:00",145,1098436005377
"2016-12-24 00:00:00",139,998141070291
"2016-12-25 00:00:00",103,419959452902
"2016-12-26 00:00:00",163,676313064985
"2016-12-27 00:00:00",253,1446185486836
"2016-12-28 00:00:00",285,2193757232364
"2016-12-29 00:00:00",242,1711370956754
"2016-12-30 00:00:00",276,2257278314067
"2016-12-31 00:00:00",195,2270400916478
"2017-01-01 00:00:00",226,2084969448240
"2017-01-02 00:00:00",238,1602042068388
"2017-01-03 00:00:00",204,1617756696126
"2017-01-04 00:00:00",180,704812352068
"2017-01-05 00:00:00",174,1090553313116
"2017-01-06 00:00:00",117,1015416218532
"2017-01-07 00:00:00",124,1542280734351
"2017-01-08 00:00:00",139,2346904217501
"2017-01-09 00:00:00",135,1323045157943
"2017-01-10 00:00:00",136,563278014403
"2017-01-11 00:00:00",131,418660500231
"2017-01-12 00:00:00",147,1110597605752
"2017-01-13 00:00:00",368,12158550493230
"2017-01-14 00:00:00",310,2810334471889
"2017-01-15 00:00:00",241,3037086525279
"2017-01-16 00:00:00",218,2440307715437
"2017-01-17 00:00:00",202,943920535863
"2017-01-18 00:00:00",271,2326984101251
"2017-01-19 00:00:00",238,2111891773440
"2017-01-20 00:00:00",386,3169021977760
"2017-01-21 00:00:00",354,2406279364917
"2017-01-22 00:00:00",278,1308121671447
"2017-01-23 00:00:00",394,2444392417787
"2017-01-24 00:00:00",412,2934491702077
"2017-01-25 00:00:00",423,2510457402061
"2017-01-26 00:00:00",363,2470594875354
"2017-01-27 00:00:00",233,1805450112902
"2017-01-28 00:00:00",287,1002022704111
"2017-01-29 00:00:00",394,2740337559605
"2017-01-30 00:00:00",242,1584609265506
